Number of Records,Year_Coal,Value_Coal,Countries
1,01/01/1971,1.715336,Sweden
1,01/01/1971,0.440670679,Switzerland
1,01/01/1971,4.76,Turkey
1,01/01/1971,0,Ukraine
1,01/01/1971,85.1,United Kingdom
1,01/01/1971,,Azerbaijan
1,01/01/1971,,Belarus
1,01/01/1971,,Kazakhstan
1,01/01/1971,,Russian Federation
1,01/01/1971,,Turkmenistan
1,01/01/1971,318.46991521,USSR
1,01/01/1971,,Uzbekistan
1,01/01/1971,0.241652,Iran
1,01/01/1971,0,Iraq
1,01/01/1971,0,Israel
1,01/01/1971,0,Kuwait
1,01/01/1971,0,Oman
1,01/01/1971,0,Qatar
1,01/01/1971,0,Saudi Arabia
1,01/01/1971,0,United Arab Emirates
1,01/01/1971,0.023,Algeria
1,01/01/1971,0.358613,Egypt
1,01/01/1971,0.303,Morocco
1,01/01/1971,29.249811826,South Africa
1,01/01/1971,2.747019338,Eastern Africa
1,01/01/1971,19.997372695,Australia
1,01/01/1971,0,Bangladesh
1,01/01/1971,191.305,China
1,01/01/1971,0.027,China Hong Kong SAR
1,01/01/1971,38.08015493,India
1,01/01/1971,0.1,Indonesia
1,01/01/1971,54.82941,Japan
1,01/01/1971,0.041,Malaysia
1,01/01/1971,1.255,New Zealand
1,01/01/1971,0.731,Pakistan
1,01/01/1971,0.0191306,Philippines
1,01/01/1971,0.00397,Singapore
1,01/01/1971,5.689,South Korea
1,01/01/1971,0,Sri Lanka
1,01/01/1971,2.419,Taiwan
1,01/01/1971,0.11425,Thailand
1,01/01/1971,1.433,Vietnam
1,01/01/1972,15.183,Canada
1,01/01/1972,1.492834623,Mexico
1,01/01/1972,289.116529673,US
1,01/01/1972,0.743877463,Argentina
1,01/01/1972,2.582623537,Brazil
1,01/01/1972,1.024,Chile
1,01/01/1972,1.812337,Colombia
1,01/01/1972,0,Ecuador
1,01/01/1972,0.131914589,Peru
1,01/01/1972,0,Trinidad & Tobago
1,01/01/1972,0.150321,Venezuela
1,01/01/1972,3.994315468,Austria
1,01/01/1972,12.86186087,Belgium
1,01/01/1972,8.16,Bulgaria
1,01/01/1972,0,Croatia
1,01/01/1972,0,Cyprus
1,01/01/1972,38.102,Czech Republic
1,01/01/1972,1.4686,Denmark
1,01/01/1972,0,Estonia
1,01/01/1972,2.249164039,Finland
1,01/01/1972,28.255596514,France
1,01/01/1972,139.283,Germany
1,01/01/1972,3.98,Greece
1,01/01/1972,8.693,Hungary
1,01/01/1972,0.000683087,Iceland
1,01/01/1972,1.91,Ireland
1,01/01/1972,8.873,Italy
1,01/01/1972,0,Latvia
1,01/01/1972,,Lithuania
1,01/01/1972,2.4433,Luxembourg
1,01/01/1972,2.961689118,Netherlands
1,01/01/1972,0,North Macedonia
1,01/01/1972,0.872725,Norway
1,01/01/1972,75.147,Poland
1,01/01/1972,0.382,Portugal
1,01/01/1972,7.918,Romania
1,01/01/1972,7.021,Slovakia
1,01/01/1972,0,Slovenia
1,01/01/1972,10.101,Spain
1,01/01/1972,1.473743,Sweden
1,01/01/1972,0.372838445,Switzerland
1,01/01/1972,5.108,Turkey
1,01/01/1972,0,Ukraine
1,01/01/1972,74.542,United Kingdom
1,01/01/1972,,Azerbaijan
1,01/01/1972,,Belarus
1,01/01/1972,,Kazakhstan
1,01/01/1972,,Russian Federation
1,01/01/1972,,Turkmenistan
1,01/01/1972,327.001145744,USSR
1,01/01/1972,,Uzbekistan
1,01/01/1972,0.377565,Iran
1,01/01/1972,0,Iraq
1,01/01/1972,0,Israel
1,01/01/1972,0,Kuwait
1,01/01/1972,0,Oman
1,01/01/1972,0,Qatar
1,01/01/1972,0,Saudi Arabia
1,01/01/1972,0,United Arab Emirates
1,01/01/1972,0.02,Algeria
1,01/01/1972,0.317342,Egypt
1,01/01/1972,0.378,Morocco
1,01/01/1972,29.456977557,South Africa
1,01/01/1972,2.788323893,Eastern Africa
1,01/01/1972,20.88826789,Australia
1,01/01/1972,0.093464,Bangladesh
1,01/01/1972,202.315,China
1,01/01/1972,0.013,China Hong Kong SAR
1,01/01/1972,40.213507042,India
1,01/01/1972,0.1,Indonesia
1,01/01/1972,53.5788,Japan
1,01/01/1972,0.104,Malaysia
1,01/01/1972,1.286,New Zealand
1,01/01/1972,0.586,Pakistan
1,01/01/1972,0.018664,Philippines
1,01/01/1972,0.002995,Singapore
1,01/01/1972,5.831,South Korea
1,01/01/1972,0,Sri Lanka
1,01/01/1972,2.304,Taiwan
1,01/01/1972,0.089802,Thailand
1,01/01/1972,1.078,Vietnam
1,01/01/1974,15.888,Canada
1,01/01/1974,1.76805675,Mexico
1,01/01/1974,303.144200049,US
1,01/01/1974,1.016846248,Argentina
1,01/01/1974,2.69237162,Brazil
1,01/01/1974,1.054,Chile
1,01/01/1974,2.231933,Colombia
1,01/01/1974,0,Ecuador
1,01/01/1974,0.160886596,Peru
1,01/01/1974,0,Trinidad & Tobago
1,01/01/1974,0.204018,Venezuela
1,01/01/1974,4.189404796,Austria
1,01/01/1974,11.54492176,Belgium
1,01/01/1974,8.083,Bulgaria
1,01/01/1974,0,Croatia
1,01/01/1974,0,Cyprus
1,01/01/1974,37.145,Czech Republic
1,01/01/1974,2.1263,Denmark
1,01/01/1974,0,Estonia
1,01/01/1974,2.543875991,Finland
1,01/01/1974,28.289477404,France
1,01/01/1974,140.337,Germany
1,01/01/1974,4.93,Greece
1,01/01/1974,8.334,Hungary
1,01/01/1974,0.000346798,Iceland
1,01/01/1974,2.009,Ireland
1,01/01/1974,9.804,Italy
1,01/01/1974,0,Latvia
1,01/01/1974,,Lithuania
1,01/01/1974,2.581,Luxembourg
1,01/01/1974,2.86615076,Netherlands
1,01/01/1974,0,North Macedonia
1,01/01/1974,1.040164,Norway
1,01/01/1974,77.583,Poland
1,01/01/1974,0.439,Portugal
1,01/01/1974,9.377,Romania
1,01/01/1974,6.804,Slovakia
1,01/01/1974,0,Slovenia
1,01/01/1974,9.582,Spain
1,01/01/1974,1.799658,Sweden
1,01/01/1974,0.305245056,Switzerland
1,01/01/1974,5.694,Turkey
1,01/01/1974,0,Ukraine
1,01/01/1974,71.08,United Kingdom
1,01/01/1974,,Azerbaijan
1,01/01/1974,,Belarus
1,01/01/1974,,Kazakhstan
1,01/01/1974,,Russian Federation
1,01/01/1974,,Turkmenistan
1,01/01/1974,332.501059759,USSR
1,01/01/1974,,Uzbekistan
