Year_Solar_Cons,Values_Solar_Cons,Countries
01/01/1971,0,Pakistan
01/01/1971,0,Philippines
01/01/1971,0,Singapore
01/01/1971,0,South Korea
01/01/1971,0,Sri Lanka
01/01/1971,0,Taiwan
01/01/1971,0,Thailand
01/01/1971,0,Vietnam
01/01/1972,0,Canada
01/01/1972,0,Mexico
01/01/1972,0,US
01/01/1972,0,Argentina
01/01/1972,0,Brazil
01/01/1972,0,Chile
01/01/1972,0,Colombia
01/01/1972,0,Ecuador
01/01/1972,0,Peru
01/01/1972,0,Trinidad & Tobago
01/01/1972,0,Venezuela
01/01/1972,0,Austria
01/01/1972,0,Belgium
01/01/1972,0,Bulgaria
01/01/1972,,Croatia
01/01/1972,0,Cyprus
01/01/1972,0,Czech Republic
01/01/1972,0,Denmark
01/01/1972,,Estonia
01/01/1972,0,Finland
01/01/1972,0,France
01/01/1972,0,Germany
01/01/1972,0,Greece
01/01/1972,0,Hungary
01/01/1972,0,Iceland
01/01/1972,0,Ireland
01/01/1972,0,Italy
01/01/1972,,Latvia
01/01/1972,,Lithuania
01/01/1972,0,Luxembourg
01/01/1972,0,Netherlands
01/01/1972,,North Macedonia
01/01/1972,0,Norway
01/01/1972,0,Poland
01/01/1972,0,Portugal
01/01/1972,0,Romania
01/01/1972,0,Slovakia
01/01/1972,,Slovenia
01/01/1972,0,Spain
01/01/1972,0,Sweden
01/01/1972,0,Switzerland
01/01/1972,0,Turkey
01/01/1972,0,Ukraine
01/01/1972,0,United Kingdom
01/01/1972,,Azerbaijan
01/01/1972,,Belarus
01/01/1972,,Kazakhstan
01/01/1972,,Russian Federation
01/01/1972,,Turkmenistan
01/01/1972,0,USSR
01/01/1972,,Uzbekistan
01/01/1972,0,Iran
01/01/1972,0,Iraq
01/01/1972,0,Israel
01/01/1972,0,Kuwait
01/01/1972,0,Oman
01/01/1972,0,Qatar
01/01/1972,0,Saudi Arabia
01/01/1972,0,United Arab Emirates
01/01/1972,0,Algeria
01/01/1972,0,Egypt
01/01/1972,0,Morocco
01/01/1972,0,South Africa
01/01/1972,0,Eastern Africa
01/01/1972,0,Australia
01/01/1972,0,Bangladesh
01/01/1972,0,China
01/01/1972,0,China Hong Kong SAR
01/01/1972,0,India
01/01/1972,0,Indonesia
01/01/1972,0,Japan
01/01/1972,0,Malaysia
01/01/1972,0,New Zealand
01/01/1972,0,Pakistan
01/01/1972,0,Philippines
01/01/1972,0,Singapore
01/01/1972,0,South Korea
01/01/1972,0,Sri Lanka
01/01/1972,0,Taiwan
01/01/1972,0,Thailand
01/01/1972,0,Vietnam
01/01/1974,0,Canada
01/01/1974,0,Mexico
01/01/1974,0,US
01/01/1974,0,Argentina
01/01/1974,0,Brazil
01/01/1974,0,Chile
01/01/1974,0,Colombia
01/01/1974,0,Ecuador
01/01/1974,0,Peru
01/01/1974,0,Trinidad & Tobago
01/01/1974,0,Venezuela
01/01/1974,0,Austria
01/01/1974,0,Belgium
01/01/1974,0,Bulgaria
01/01/1974,,Croatia
01/01/1974,0,Cyprus
01/01/1974,0,Czech Republic
01/01/1974,0,Denmark
01/01/1974,,Estonia
01/01/1974,0,Finland
01/01/1974,0,France
01/01/1974,0,Germany
01/01/1974,0,Greece
01/01/1974,0,Hungary
01/01/1974,0,Iceland
01/01/1974,0,Ireland
01/01/1974,0,Italy
01/01/1974,,Latvia
01/01/1974,,Lithuania
01/01/1974,0,Luxembourg
01/01/1974,0,Netherlands
01/01/1974,,North Macedonia
01/01/1974,0,Norway
01/01/1974,0,Poland
01/01/1974,0,Portugal
01/01/1974,0,Romania
01/01/1974,0,Slovakia
01/01/1974,,Slovenia
01/01/1974,0,Spain
01/01/1974,0,Sweden
01/01/1974,0,Switzerland
01/01/1974,0,Turkey
01/01/1974,0,Ukraine
01/01/1974,0,United Kingdom
