Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1970,1.061,Egypt
1,01/01/1970,0.304566231,Morocco
1,01/01/1970,0,South Africa
1,01/01/1970,2.580952444,Eastern Africa
1,01/01/1970,2.301372811,Australia
1,01/01/1970,0,Bangladesh
1,01/01/1970,5.439,China
1,01/01/1970,0,China Hong Kong SAR
1,01/01/1970,6.887,India
1,01/01/1970,0.947,Indonesia
1,01/01/1970,16.610507218,Japan
1,01/01/1970,0.295,Malaysia
1,01/01/1970,2.867,New Zealand
1,01/01/1970,0.661,Pakistan
1,01/01/1970,0.349,Philippines
1,01/01/1970,0,Singapore
1,01/01/1970,0.276210345,South Korea
1,01/01/1970,0.167511427,Sri Lanka
1,01/01/1970,0.805,Taiwan
1,01/01/1970,0.453,Thailand
1,01/01/1970,0.135765036,Vietnam
1,01/01/1971,35.532,Canada
1,01/01/1971,3.271,Mexico
1,01/01/1971,61.604289947,US
1,01/01/1971,0.345,Argentina
1,01/01/1971,9.774856315,Brazil
1,01/01/1971,0.995,Chile
1,01/01/1971,1.453457122,Colombia
1,01/01/1971,0.138,Ecuador
1,01/01/1971,0.968,Peru
1,01/01/1971,0,Trinidad & Tobago
1,01/01/1971,1.221,Venezuela
1,01/01/1971,3.805969136,Austria
1,01/01/1971,0.030320858,Belgium
1,01/01/1971,0.492,Bulgaria
1,01/01/1971,,Croatia
1,01/01/1971,0,Cyprus
1,01/01/1971,0.266,Czech Republic
1,01/01/1971,0.005,Denmark
1,01/01/1971,,Estonia
1,01/01/1971,2.416800489,Finland
1,01/01/1971,11.055058424,France
1,01/01/1971,3.044573517,Germany
1,01/01/1971,0.666,Greece
1,01/01/1971,0.021,Hungary
1,01/01/1971,0.348373082,Iceland
1,01/01/1971,0.105263158,Ireland
1,01/01/1971,8.842603068,Italy
1,01/01/1971,,Latvia
1,01/01/1971,,Lithuania
1,01/01/1971,0.011026384,Luxembourg
1,01/01/1971,0,Netherlands
1,01/01/1971,,North Macedonia
1,01/01/1971,14.468,Norway
1,01/01/1971,0.355014255,Poland
1,01/01/1971,1.39611712,Portugal
1,01/01/1971,1.018,Romania
1,01/01/1971,0.333981989,Slovakia
1,01/01/1971,,Slovenia
1,01/01/1971,7.328337919,Spain
1,01/01/1971,11.774,Sweden
1,01/01/1971,6.571870842,Switzerland
1,01/01/1971,0.590623162,Turkey
1,01/01/1971,0,Ukraine
1,01/01/1971,0.763225777,United Kingdom
1,01/01/1971,,Azerbaijan
1,01/01/1971,,Belarus
1,01/01/1971,,Kazakhstan
1,01/01/1971,,Russian Federation
1,01/01/1971,,Turkmenistan
1,01/01/1971,29.353,USSR
1,01/01/1971,,Uzbekistan
1,01/01/1971,0.603,Iran
1,01/01/1971,0.045,Iraq
1,01/01/1971,0,Israel
1,01/01/1971,0,Kuwait
1,01/01/1971,0,Oman
1,01/01/1971,0,Qatar
1,01/01/1971,0,Saudi Arabia
1,01/01/1971,0,United Arab Emirates
1,01/01/1971,0.074,Algeria
1,01/01/1971,1.142,Egypt
