Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
US,56.938036840000002,1,1972,56.93803684
Argentina,-10,1,1972,0
Brazil,-10,1,1972,0
Chile,-10,1,1972,0
Colombia,-10,1,1972,0
Ecuador,-10,1,1972,0
Peru,-10,1,1972,0
Trinidad and Tobago,-10,1,1972,0
Venezuela,-10,1,1972,0
Austria,-10,1,1972,0
Belgium,0.010999999999999999,1,1972,0.011
Bulgaria,-10,1,1972,0
Croatia,,1,1972,
Cyprus,-10,1,1972,0
Czech Republic,-10,1,1972,0
Denmark,-10,1,1972,0
Estonia,,1,1972,
Finland,-10,1,1972,0
France,14.590999999999999,1,1972,14.591
Germany,9.5238069999999997,1,1972,9.523807
Greece,-10,1,1972,0
Hungary,-10,1,1972,0
Iceland,-10,1,1972,0
Ireland,-10,1,1972,0
Italy,3.8404585999999998,1,1972,3.8404586
Latvia,,1,1972,
Lithuania,,1,1972,
Luxembourg,-10,1,1972,0
Netherlands,0.331455,1,1972,0.331455
North Macedonia,,1,1972,
Norway,-10,1,1972,0
Poland,-10,1,1972,0
Portugal,-10,1,1972,0
Romania,-10,1,1972,0
Slovakia,0.0044194000000000004,1,1972,0.0044194
Slovenia,,1,1972,
Spain,4.6978222000000001,1,1972,4.6978222
Sweden,1.4672407999999999,1,1972,1.4672408
Switzerland,3.5885528,1,1972,3.5885528
Turkey,-10,1,1972,0
Ukraine,-10,1,1972,0
United Kingdom,29.384590599999999,1,1972,29.3845906
Azerbaijan,,1,1972,
Belarus,,1,1972,
Kazakhstan,,1,1972,
Russian Federation,,1,1972,
Turkmenistan,,1,1972,
USSR,9.8331649999999993,1,1972,9.833165
Uzbekistan,,1,1972,
Iran,-10,1,1972,0
Iraq,-10,1,1972,0
Israel,-10,1,1972,0
Kuwait,-10,1,1972,0
Oman,-10,1,1972,0
Qatar,-10,1,1972,0
Saudi Arabia,-10,1,1972,0
United Arab Emirates,-10,1,1972,0
Algeria,-10,1,1972,0
Egypt,-10,1,1972,0
Morocco,-10,1,1972,0
South Africa,-10,1,1972,0
Eastern Africa,-10,1,1972,0
Australia,-10,1,1972,0
Bangladesh,-10,1,1972,0
China,-10,1,1972,0
Hong Kong SAR,-10,1,1972,0
India,0.92365459999999999,1,1972,0.9236546
Indonesia,-10,1,1972,0
Japan,8.7813478000000007,1,1972,8.7813478
Malaysia,-10,1,1972,0
New Zealand,-10,1,1972,0
Pakistan,0.20329240000000001,1,1972,0.2032924
Philippines,-10,1,1972,0
Singapore,-10,1,1972,0
South Korea,-10,1,1972,0
Sri Lanka,-10,1,1972,0
Taiwan,-10,1,1972,0
Thailand,-10,1,1972,0
Vietnam,-10,1,1972,0
Canada,13.9034324,1,1974,13.9034324
Mexico,-10,1,1974,0
US,119.9744632,1,1974,119.9744632
Argentina,1.0253007999999999,1,1974,1.0253008
Brazil,-10,1,1974,0
Chile,-10,1,1974,0
Colombia,-10,1,1974,0
Ecuador,-10,1,1974,0
Peru,-10,1,1974,0
Trinidad and Tobago,-10,1,1974,0
Venezuela,-10,1,1974,0
Austria,-10,1,1974,0
Belgium,0.14799999999999999,1,1974,0.148
Bulgaria,0.92807399999999995,1,1974,0.928074
Croatia,,1,1974,
Cyprus,-10,1,1974,0
Czech Republic,-10,1,1974,0
Denmark,-10,1,1974,0
Estonia,,1,1974,
Finland,-10,1,1974,0
France,14.710000000000001,1,1974,14.71
Germany,14.460276800000001,1,1974,14.4602768
Greece,-10,1,1974,0
Hungary,-10,1,1974,0
Iceland,-10,1,1974,0
Ireland,-10,1,1974,0
Italy,3.2570977999999999,1,1974,3.2570978
Latvia,,1,1974,
Lithuania,,1,1974,
Luxembourg,-10,1,1974,0
Netherlands,3.0449666,1,1974,3.0449666
North Macedonia,,1,1974,
Norway,-10,1,1974,0
Poland,-10,1,1974,0
Portugal,-10,1,1974,0
Romania,-10,1,1974,0
Slovakia,0.49055339999999997,1,1974,0.4905534
Slovenia,,1,1974,
Spain,7.2080413999999999,1,1974,7.2080414
Sweden,2.055021,1,1974,2.055021
Switzerland,6.1606436000000002,1,1974,6.1606436
Turkey,-10,1,1974,0
Ukraine,-10,1,1974,0
United Kingdom,33.622795199999999,1,1974,33.6227952
Azerbaijan,,1,1974,
Belarus,,1,1974,
Kazakhstan,,1,1974,
Russian Federation,,1,1974,
Turkmenistan,,1,1974,
USSR,21.4606064,1,1974,21.4606064
Uzbekistan,,1,1974,
Iran,-10,1,1974,0
Iraq,-10,1,1974,0
Israel,-10,1,1974,0
Kuwait,-10,1,1974,0
Oman,-10,1,1974,0
Qatar,-10,1,1974,0
Saudi Arabia,-10,1,1974,0
United Arab Emirates,-10,1,1974,0
Algeria,-10,1,1974,0
